Treated_ID,Control_ID
1,39
2,145
3,31
7,153
8,89
9,106
11,109
12,29
17,82
20,175
25,124
27,135
28,13
30,77
33,179
34,111
35,144
38,122
43,100
45,16
47,58
48,195
50,83
51,57
52,98
53,44
54,189
55,42
62,19
65,128
67,56
69,166
70,24
73,173
74,190
75,125
76,26
80,71
81,97
86,180
87,110
88,14
91,84
92,151
93,142
94,164
96,18
101,41
103,155
104,61
107,138
112,21
113,4
114,184
115,5
116,117
118,148
119,68
120,40
121,141
126,46
127,158
129,60
134,32
136,160
137,108
139,167
140,85
146,177
147,66
150,22
154,79
156,123
157,95
159,72
161,102
162,105
163,171
165,168
169,90
170,152
172,15
174,194
176,49
178,143
182,149
183,63
185,131
186,10
187,78
188,133
191,23
192,37
193,0
196,59
197,6
198,130
199,64
